filename;filename;sparcity;cloneCount;itemCount;objectCount;minerMinimalTransverseCount;minimalSizeOfTransverse;minerTime
../data/shd_data/lose200.dat;../data/shd_data/lose200.dat;10.5263;31;76;200;22760;1;0.161
../data/shd_data/matching42.dat;../data/shd_data/matching42.dat;4.7619;21;42;21;2097152;21;2.066
../data/shd_data/zoo_bi.dat;../data/shd_data/zoo_bi.dat;30.4809;2;28;101;709;3;0.002
../data/shd_data/dualmatching28.dat;../data/shd_data/dualmatching28.dat;50.0;0;28;16384;14;2;0.5920000000000001
../data/shd_data/win6400.dat;../data/shd_data/win6400.dat;9.876539999999999;8;81;6400;1277933;1;63.245
../data/shd_data/win3200.dat;../data/shd_data/win3200.dat;9.876539999999999;13;81;3200;459502;1;12.657
../data/shd_data/lose100.dat;../data/shd_data/lose100.dat;10.5263;45;76;100;2341;1;0.006999999999999999
../data/shd_data/dualmatching30.dat;../data/shd_data/dualmatching30.dat;50.0;0;30;32768;15;2;2.557
../data/shd_data/dualmatching36.dat;../data/shd_data/dualmatching36.dat;50.0;0;36;262144;18;2;174.81400000000002
../data/shd_data/Hyp2.txt;../data/shd_data/Hyp2.txt;24.1758;2;13;7;68;4;0.001
../data/shd_data/dualmatching34.dat;../data/shd_data/dualmatching34.dat;50.0;0;34;131072;17;2;45.268
../data/shd_data/TM_Hyp3.txt;../data/shd_data/TM_Hyp3.txt;38.5965;0;12;57;6;2;0.001
../data/shd_data/dualmatching24.dat;../data/shd_data/dualmatching24.dat;50.0;0;24;4096;12;2;0.04
../data/shd_data/matching44.dat;../data/shd_data/matching44.dat;4.54545;22;44;22;4194304;22;4.083
../data/shd_data/ac_200k.dat;../data/shd_data/ac_200k.dat;89.8148;42;64;81;253;1;0.001
../data/shd_data/Hyp1.txt;../data/shd_data/Hyp1.txt;24.2857;1;10;7;16;4;0.001
../data/shd_data/matching36.dat;../data/shd_data/matching36.dat;5.55556;18;36;18;262144;18;0.218
../data/shd_data/win200.dat;../data/shd_data/win200.dat;10.3896;39;77;200;1145;1;0.006999999999999999
../data/shd_data/win800.dat;../data/shd_data/win800.dat;10.3896;29;77;800;11675;1;0.21
../data/shd_data/lose800.dat;../data/shd_data/lose800.dat;10.0;23;80;800;79632;1;0.7929999999999999
../data/shd_data/TM_Hyp2.txt;../data/shd_data/TM_Hyp2.txt;36.4253;0;13;68;7;3;0.001
../data/shd_data/TM_Hyp1.txt;../data/shd_data/TM_Hyp1.txt;42.5;0;10;16;6;2;0.001
../data/shd_data/win1600.dat;../data/shd_data/win1600.dat;10.1266;21;79;1600;71840;1;1.236
../data/shd_data/lose6400.dat;../data/shd_data/lose6400.dat;10.0;7;80;6400;4707877;2;163.946
../data/shd_data/matching34.dat;../data/shd_data/matching34.dat;5.88235;17;34;17;131072;17;0.115
../data/shd_data/win400.dat;../data/shd_data/win400.dat;10.3896;33;77;400;6069;1;0.091
../data/shd_data/matching38.dat;../data/shd_data/matching38.dat;5.26316;19;38;19;524288;19;0.449
../data/shd_data/lose400.dat;../data/shd_data/lose400.dat;10.2564;30;78;400;33087;1;0.285
../data/shd_data/dualmatching20.dat;../data/shd_data/dualmatching20.dat;50.0;0;20;1024;10;2;0.004
../data/shd_data/matching28.dat;../data/shd_data/matching28.dat;7.142860000000001;14;28;14;16384;14;0.013000000000000001
../data/shd_data/ac_130k.dat;../data/shd_data/ac_130k.dat;89.9376;50;81;990;1916;1;0.005
../data/shd_data/lose1600.dat;../data/shd_data/lose1600.dat;10.0;18;80;1600;212761;1;3.448
../data/shd_data/matching24.dat;../data/shd_data/matching24.dat;8.33333;12;24;12;4096;12;0.004
../data/shd_data/matching32.dat;../data/shd_data/matching32.dat;6.25;16;32;16;65536;16;0.047
../data/shd_data/dualmatching32.dat;../data/shd_data/dualmatching32.dat;50.0;0;32;65536;16;2;8.388
../data/shd_data/win100.dat;../data/shd_data/win100.dat;10.6667;45;75;100;287;1;0.003
../data/shd_data/matching40.dat;../data/shd_data/matching40.dat;5.0;20;40;20;1048576;20;0.945
../data/shd_data/Hyp3.txt;../data/shd_data/Hyp3.txt;23.6111;3;12;6;57;4;0.001
../data/shd_data/matching46.dat;../data/shd_data/matching46.dat;4.34783;23;46;23;8388608;23;8.078
../data/shd_data/matching30.dat;../data/shd_data/matching30.dat;6.66667;15;30;15;32768;15;0.022000000000000002
../data/shd_data/lose3200.dat;../data/shd_data/lose3200.dat;10.0;10;80;3200;2396735;1;46.242
../data/shd_data/matching20.dat;../data/shd_data/matching20.dat;10.0;10;20;10;1024;10;0.002
../data/shd_data/ac_150k.dat;../data/shd_data/ac_150k.dat;88.0278;35;64;447;1039;1;0.003
